INTERSECTION,CAMERA_INSTALL_YEAR,LATITUDE,LONGITUDE,X,Y,CAMERA_FACING,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL_VIOLATIONS,HIGHEST_MONTHLY_TOTAL,ObjectId
CARLING @ 195M W OF IROQUOIS,2022,45.37087356,-75.76881154,362073.0121,5025919.029,Westbound,25,,,,,,,,,,,,25,25,73
CARLING @ FAIRLAWN,2022,45.37008858,-75.77058769,361934.679,5025830.534,Eastbound,11,,,,,,,,,,,,11,11,74
CARP @ RICHARDSON SIDE,2022,45.29317806,-75.97205827,346209.5557,5017160.457,Southbound,21,,,,,,,,,,,,21,21,75
CONROY @ JOHNSTON,2022,45.37336061,-75.62420532,373396.8071,5026308.46,Northbound,69,,,,,,,,,,,,69,69,76
CONROY @ LORRY GREENBERG,2022,45.36947236,-75.62207744,373568.186,5025878.183,Northbound,54,,,,,,,,,,,,54,54,77
SMYTH @ HAIG,2022,45.40034514,-75.63441699,372564.7249,5029298.548,Eastbound,18,,,,,,,,,,,,18,18,78
CARLING @ HOLLY ACRES,2022,45.34938793,-75.81807293,358234.6563,5023497.518,Eastbound,87,,,,,,,,,,,,87,87,79
JEANNE D'ARC @ VINEYARDS /FORTUNE,2022,45.47233893,-75.54795751,379238.7286,5037375.598,Northbound,N/A,,,,,,,,,,,,0,0,80
TERRY FOX @ 135M S OF HAZELDEAN,2022,45.29260541,-75.89451488,352292.2135,5017139.577,Northbound,44,,,,,,,,,,,,44,44,81
VANIER PARKWAY @ PRESLAND,2022,45.42262016,-75.6613151,370433.1219,5031751.637,Southbound,59,,,,,,,,,,,,59,59,82
ELGIN ST @ SLATER ST,2022,45.42190879,-75.69381322,367890.7049,5031646.579,Southbound,39,,,,,,,,,,,,39,39,83
WELLINGTON ST @ BAY ST,2022,45.41935066,-75.70759843,366814.7011,5031351.577,Eastbound,113,,,,,,,,,,,,113,113,84
NAVAN @ RENAUD,2022,45.43032102,-75.51571663,381816.7611,5032736.549,Southbound,4,,,,,,,,,,,,4,4,85
MAITLAND @ ERINDALE/GLENMOUNT,2025,45.36426544,-75.7477951,363726.061,5025199.85,Northbound,116,,,,,,,,,,,,116,116,86
